ID,FullName,Color
BlueWhitingNS,Blue whiting,#00c5e7
MackerelNS,Mackerel,#186d7b
HerringNS,Herring (adults),#0590a8
HerringBS,Herring (juveniles),#8Fb79D
CapelinBS,Capelin,#d9d1b0
PolarCodBS,Polar cod,#cca608
CodBS,Cod,#f6c703
OtherDemersalBS,Other demersals,#f67403
ToothedWhales,Toothed whales,#8f979d
MinkeWhale,Minke whales,#5A646C
OtherBaleenWhales,Other baleen whales,#475057
Seals,Seals,#8e8888
ZooPlanktonNS,Zooplankton (Norwegian Sea),#b969ea
MesopelagicAndOtherNS,Mesopelagic fauna,#9858df
KrillNS,Krill (Norwegian Sea),#C24C95
KrillBS,Krill (Barents Sea),#943C72
CopepodBS,Copepods (Barents Sea),#ec80c2
AmphipodsBS,Amphipods (Barents Sea),#b98da8
BenthosBS,Benthos and other plankton (Barents Sea),#99728A
Birds,Seabirds,#ea1765
OutsideResources,Outside resources,#673999
OutsidePredation,Outside predators,#222D75
FMinkeWhale,Hunting of Minke whales,#A21E30
FSeals,Hunting of Seals,#A21E30
FDemersal,Demersal fisheries,#A21E30
FPelagic,Pelagic Fisheries,#A21E30
